"Date","Site","City/Town","Expected Substance","Fentanyl Test Strip","Benzo Test Strip","FTIR Spectrometer"
"2020-10-31","GYDT - Walk-in","Vancouver","Ketamine","False","N/A","['Ketamine HCl']"
"2020-10-31","GYDT - Walk-in","Vancouver","Cocaine","False","N/A","['Caffeine', 'Cocaine HCl']"
"2020-10-31","GYDT - Walk-in","Vancouver","Fentanyl","True","False","['Caffeine', 'Fentanyl or Analog', 'Mannitol']"
"2020-10-31","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-10-31","GYDT - Walk-in","Vancouver","Alprazolam","False","False","['Dibenzoyl-L-tartaric acid']"
"2020-10-31","GYDT - Walk-in","Vancouver","Cocaine","False","N/A","['Cocaine HCl', 'Creatine']"
"2020-10-31","GYDT - Walk-in","Vancouver","Unknown","False","False","['4-cyano CUMYL-BUTINACA']"
"2020-10-31","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-10-31","GYDT - Walk-in","Vancouver","Cocaine","False","N/A","['Cocaine HCl', 'Uncertain Carbohydrate']"
"2020-10-31","GYDT - Walk-in","Vancouver","Cocaine","False","N/A","['Cocaine HCl']"
"2020-10-31","GYDT - Walk-in","Vancouver","Fentanyl","N/A","N/A","['Fentanyl HCl']"
"2020-10-31","GYDT - Walk-in","Vancouver","Unknown","False","False","['Uncertain Oil', 'Sodium Citrate']"
"2020-10-31","GYDT - Walk-in","Vancouver","Fentanyl","False","False","['Mannitol', 'etizolam']"
"2020-10-31","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-10-31","GYDT - Walk-in","Vancouver","Ketamine","False","N/A","['Ketamine HCl']"
"2020-10-31","GYDT - Walk-in","Vancouver","Heroin","True","False","['Fentanyl HCl', 'Inositol', 'Noscapine HCl']"
"2020-10-31","GYDT - Walk-in","Vancouver","Alprazolam","False","False","['No Library Match']"
"2020-10-31","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-10-31","GYDT - Walk-in","Vancouver","LSD","False","N/A","['']"
"2020-10-31","GYDT - Walk-in","Vancouver","Cocaine","False","N/A","['Cocaine HCl', 'Levamisole']"
"2020-10-31","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-10-31","GYDT - Walk-in","Vancouver","Cocaine","False","N/A","['Cocaine HCl', 'Phenacetin', 'Uncertain Carbohydrate']"
"2020-10-31","GYDT - Walk-in","Vancouver","Unknown","False","N/A","['Ketamine HCl']"
"2020-10-31","GYDT - Walk-in","Vancouver","Cocaine","False","N/A","['Cocaine HCl', 'Uncertain Carbohydrate']"
"2020-10-31","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-10-31","GYDT - Walk-in","Vancouver","Cocaine","False","N/A","['Cocaine HCl', 'Levamisole', 'Uncertain Carbohydrate']"
"2020-10-31","GYDT - Walk-in","Vancouver","Crack Cocaine","False","N/A","['Cocaine Base', 'Phenacetin']"
"2020-10-31","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-10-31","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-10-31","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-10-31","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-10-30","GYDT - Walk-in","Vancouver","Ketamine","False","N/A","['Inositol', 'Ketamine HCl']"
"2020-10-30","GYDT - Walk-in","Vancouver","Fentanyl","True","False","['Caffeine', 'Fentanyl HCl', 'Erythritol']"
"2020-10-30","GYDT - Walk-in","Vancouver","Fentanyl","True","False","['Caffeine', 'Fentanyl HCl', 'Erythritol']"
"2020-10-30","Overdose Prevention Society","Vancouver","Fentanyl","True","False","['Fentanyl HCl']"
"2020-10-30","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-10-30","Overdose Prevention Society","Vancouver","Unknown","True","True","['Caffeine', 'Fentanyl or Analog', 'Erythritol']"
"2020-10-30","Overdose Prevention Society","Vancouver","Etizolam","False","True","['etizolam']"
"2020-10-30","GYDT - Walk-in","Vancouver","Steroid","False","N/A","['Uncertain Oil']"
"2020-10-30","GYDT - Walk-in","Vancouver","Methamphetamine","True","False","['Caffeine', 'Fentanyl HCl', 'Erythritol']"
"2020-10-30","GYDT - Walk-in","Vancouver","Fentanyl","True","False","['Caffeine', 'Fentanyl HCl', 'Mannitol']"
"2020-10-30","GYDT - Walk-in","Vancouver","Cocaine","False","N/A","['Cocaine HCl', 'Inositol']"
"2020-10-30","Overdose Prevention Society","Vancouver","Down (Unknown Opioid)","True","True","['Caffeine', 'Fentanyl HCl']"
"2020-10-30","Overdose Prevention Society","Vancouver","Fentanyl","True","True","['Caffeine', 'Fentanyl HCl', 'Dimethyl Sulfone', 'Erythritol']"
"2020-10-30","GYDT - Walk-in","Vancouver","Ketamine","False","N/A","['Ketamine HCl']"
"2020-10-30","GYDT - Walk-in","Vancouver","Cocaine","False","N/A","['Cocaine HCl', 'Inositol']"
"2020-10-30","GYDT - Walk-in","Vancouver","Cocaine","False","N/A","['Cocaine HCl', 'Levamisole']"
"2020-10-30","Overdose Prevention Society","Vancouver","Down (Unknown Opioid)","True","False","['Caffeine', 'Fentanyl or Analog', 'Mannitol']"
"2020-10-30","GYDT - Walk-in","Vancouver","Ketamine","False","N/A","['Ketamine HCl']"
"2020-10-30","CMHA Nanaimo","Nanaimo","Fentanyl","True","N/A","['Caffeine', 'Fentanyl or Analog', 'Inositol']"
"2020-10-30","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-10-30","GYDT - Walk-in","Vancouver","Cocaine","False","N/A","['Caffeine', 'Cocaine HCl']"
"2020-10-30","GYDT - Walk-in","Vancouver","Ketamine","False","N/A","['Ketamine HCl', 'Sugar Uncertain']"
"2020-10-30","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-10-30","Overdose Prevention Society","Vancouver","Down (Unknown Opioid)","True","False","['Fentanyl HCl', 'Uncertain Match']"
"2020-10-30","GYDT - Walk-in","Vancouver","Cocaine","False","N/A","['Cocaine HCl']"
"2020-10-30","GYDT - Walk-in","Vancouver","Cocaine","False","N/A","['Caffeine', 'Cocaine HCl', 'Benzocaine']"
"2020-10-30","GYDT - Walk-in","Vancouver","Ketamine","False","N/A","['Ketamine HCl']"
"2020-10-30","Overdose Prevention Society","Vancouver","Down (Unknown Opioid)","True","False","['Caffeine', 'Fentanyl or Analog', 'Erythritol']"
"2020-10-30","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-10-30","Overdose Prevention Society","Vancouver","Down (Unknown Opioid)","True","False","['Caffeine', 'Fentanyl or Analog', 'Mannitol']"
"2020-10-30","Overdose Prevention Society","Vancouver","Cocaine","False","N/A","['Cocaine HCl']"
"2020-10-30","GYDT - Walk-in","Vancouver","Cocaine","False","N/A","['Cocaine HCl', 'Sugar Uncertain']"
"2020-10-30","GYDT - Walk-in","Vancouver","Unknown","False","False","['No Library Match']"
"2020-10-30","Overdose Prevention Society","Vancouver","Fentanyl","False","True","['etizolam']"
"2020-10-30","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-10-30","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-10-30","GYDT - Walk-in","Vancouver","Ketamine","False","N/A","['Ketamine HCl']"
"2020-10-30","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-10-30","GYDT - Walk-in","Vancouver","Cocaine","False","N/A","['Cocaine HCl', 'Levamisole', 'Talc']"
"2020-10-30","GYDT - Walk-in","Vancouver","Down (Unknown Opioid)","N/A","False","['Fentanyl or Analog', '4-ANPP']"
"2020-10-30","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-10-30","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-10-30","Overdose Prevention Society","Vancouver","Down (Unknown Opioid)","True","False","['Fentanyl HCl']"
"2020-10-30","Overdose Prevention Society","Vancouver","Down (Unknown Opioid)","True","False","['Caffeine', 'Fentanyl or Analog', 'Mannitol']"
"2020-10-30","GYDT - Walk-in","Vancouver","Crack Cocaine","False","N/A","['Cocaine Base']"
"2020-10-30","GYDT - Walk-in","Vancouver","Cocaine","False","N/A","['Cocaine HCl']"
"2020-10-30","Overdose Prevention Society","Vancouver","Crack Cocaine","False","False","['Cocaine Base', 'Phenacetin']"
"2020-10-30","GYDT - Walk-in","Vancouver","Down (Unknown Opioid)","N/A","False","['Fentanyl HCl']"
"2020-10-30","GYDT - Walk-in","Vancouver","DMT","False","N/A","['DMT Base', 'Uncertain Oil']"
"2020-10-30","GYDT - Walk-in","Vancouver","Etizolam","False","False","['etizolam']"
"2020-10-30","GYDT - Walk-in","Vancouver","Cocaine","False","N/A","['Cocaine HCl']"
"2020-10-30","ASK Wellness","Kamloops","Fentanyl","True","True","['Caffeine', 'Fentanyl HCl', 'Mannitol']"
"2020-10-30","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-10-30","Overdose Prevention Society","Vancouver","Unknown","True","False","['Caffeine', 'Fentanyl or Analog']"
"2020-10-30","Overdose Prevention Society","Vancouver","Alprazolam","True","True","['etizolam']"
"2020-10-30","GYDT - Walk-in","Vancouver","Heroin","True","False","['Caffeine', 'Fentanyl or Analog', 'Methamphetamine HCl', 'Erythritol']"
"2020-10-30","Overdose Prevention Society","Vancouver","Down (Unknown Opioid)","True","False","['Caffeine', 'Fentanyl or Analog', 'Mannitol']"
"2020-10-30","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-10-30","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-10-30","GYDT - Walk-in","Vancouver","Cocaine","False","N/A","['Cocaine HCl']"
"2020-10-30","GYDT - Walk-in","Vancouver","Alprazolam","False","N/A","['Sodium isoascorbate']"
"2020-10-30","CMHA Nanaimo","Nanaimo","Fentanyl","True","True","['Caffeine', 'Fentanyl or Analog', 'etizolam']"
"2020-10-30","GYDT - Walk-in","Vancouver","Cocaine","False","N/A","['Cocaine HCl']"
"2020-10-30","GYDT - Walk-in","Vancouver","Cocaine","False","N/A","['Cocaine HCl']"
"2020-10-30","ASK Wellness","Kamloops","Unknown","True","False","['Caffeine', 'Fentanyl HCl', 'Erythritol']"
"2020-10-30","GYDT - Walk-in","Vancouver","Alprazolam","False","False","['Microcrystalline Cellulose', 'Uncertain Oil', 'etizolam']"
"2020-10-30","GYDT - Walk-in","Vancouver","Cocaine","False","N/A","['Cocaine HCl']"
"2020-10-30","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-10-30","Overdose Prevention Society","Vancouver","Down (Unknown Opioid)","True","False","['Caffeine', 'Fentanyl or Analog', 'Erythritol']"
"2020-10-30","Overdose Prevention Society","Vancouver","Down (Unknown Opioid)","True","False","['Caffeine', 'Fentanyl or Analog', 'Mannitol']"
"2020-10-30","GYDT - Walk-in","Vancouver","Crack Cocaine","False","N/A","['Cocaine Base', 'Phenacetin']"
"2020-10-29","GYDT - Walk-in","Vancouver","Ketamine","False","N/A","['Ketamine HCl']"
"2020-10-29","Overdose Prevention Society","Vancouver","Fentanyl","True","False","['Erythritol', 'Lactose', 'Water']"
"2020-10-29","GYDT - Walk-in","Vancouver","Alprazolam","False","True","['Microcrystalline Cellulose', 'Uncertain Oil']"
"2020-10-29","Overdose Prevention Society","Vancouver","Fentanyl","True","False","['Caffeine', 'Fentanyl or Analog', 'Mannitol']"
"2020-10-29","Overdose Prevention Society","Vancouver","Fentanyl","True","False","['Caffeine', 'Fentanyl or Analog']"
"2020-10-29","Overdose Prevention Society","Vancouver","Fentanyl","True","False","['Caffeine', 'Mannitol']"
"2020-10-29","GYDT - Walk-in","Vancouver","Unknown","False","N/A","['Acetylcysteine']"
"2020-10-29","Overdose Prevention Society","Vancouver","Fentanyl","True","False","['Caffeine', 'Fentanyl HCl', 'Mannitol']"
"2020-10-29","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-10-29","Overdose Prevention Society","Vancouver","Fentanyl","True","False","['Caffeine', 'Fentanyl or Analog', 'Mannitol']"
"2020-10-29","Overdose Prevention Society","Vancouver","Fentanyl","True","False","['Caffeine', 'Fentanyl or Analog', 'Mannitol']"
"2020-10-29","GYDT - Walk-in","Vancouver","Ketamine","False","N/A","['Ketamine HCl', 'Uncertain Oil']"
"2020-10-29","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-10-29","Overdose Prevention Society","Vancouver","Fentanyl","True","False","['Caffeine', 'Fentanyl or Analog', 'Erythritol']"
"2020-10-29","GYDT - Walk-in","Vancouver","Alprazolam","False","True","['Microcrystalline Cellulose', 'Uncertain Oil']"
"2020-10-29","GYDT - Walk-in","Vancouver","Fentanyl","N/A","False","['Fentanyl HCl', 'Uncertain Match']"
"2020-10-29","Overdose Prevention Society","Vancouver","Fentanyl","True","True","['Caffeine', 'Mannitol']"
"2020-10-29","GYDT - Walk-in","Vancouver","Ketamine","False","N/A","['Ketamine HCl']"
"2020-10-29","GYDT - Walk-in","Vancouver","Ketamine","False","N/A","['Ketamine HCl']"
"2020-10-29","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['Uncertain Carbohydrate']"
"2020-10-29","GYDT - Walk-in","Vancouver","Alprazolam","False","True","['Microcrystalline Cellulose', 'Uncertain Oil']"
"2020-10-29","GYDT - Walk-in","Vancouver","Fentanyl","N/A","False","['Fentanyl or Analog', 'Uncertain Match']"
"2020-10-29","GYDT - Walk-in","Vancouver","Fentanyl","N/A","False","['Fentanyl HCl']"
"2020-10-29","Overdose Prevention Society","Vancouver","Fentanyl","True","True","['Caffeine', 'Mannitol']"
"2020-10-29","GYDT - Walk-in","Vancouver","Alprazolam","False","True","['Microcrystalline Cellulose', 'Uncertain Oil']"
"2020-10-29","Overdose Prevention Society","Vancouver","Fentanyl","True","False","['Caffeine', 'Fentanyl or Analog', 'Mannitol']"
"2020-10-29","GYDT - Walk-in","Vancouver","Fentanyl","N/A","False","['Fentanyl HCl', 'Mannitol']"
"2020-10-29","GYDT - Walk-in","Vancouver","Cocaine","False","N/A","['Cocaine HCl']"
"2020-10-28","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-10-28","GYDT - Walk-in","Vancouver","Fentanyl","True","False","['Caffeine', 'Fentanyl HCl', 'Erythritol']"
"2020-10-28","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-10-28","GYDT - Walk-in","Vancouver","Down (Unknown Opioid)","True","False","['Fentanyl or Analog', 'Erythritol']"
"2020-10-28","GYDT - Walk-in","Vancouver","Alprazolam","False","True","['Microcrystalline Cellulose']"
"2020-10-28","GYDT - Walk-in","Vancouver","Unknown","False","N/A","['Cocaine HCl', 'Uncertain Oil']"
"2020-10-28","GYDT - Walk-in","Vancouver","Cocaine","False","N/A","['Cocaine HCl', 'Levamisole']"
"2020-10-28","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-10-28","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-10-28","GYDT - Walk-in","Vancouver","Diazepam","False","True","['Microcrystalline Cellulose', 'Uncertain Oil']"
"2020-10-28","ASK Wellness","Kamloops","Methamphetamine","False","N/A","['Methamphetamine HCl']"
"2020-10-28","ASK Wellness","Kamloops","MDMA","False","N/A","['MDMA']"
"2020-10-28","ASK Wellness","Kamloops","Fentanyl","True","False","['Caffeine', 'Fentanyl HCl']"
"2020-10-28","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-10-28","ASK Wellness","Kamloops","Fentanyl","True","False","['Caffeine', 'Fentanyl or Analog', 'Erythritol', 'Mannitol']"
"2020-10-28","GYDT - Walk-in","Vancouver","Alprazolam","False","True","['Microcrystalline Cellulose', 'Uncertain Oil']"
"2020-10-28","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-10-28","GYDT - Walk-in","Vancouver","Alprazolam","False","True","['Microcrystalline Cellulose', 'Uncertain Oil']"
"2020-10-28","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-10-28","GYDT - Walk-in","Vancouver","Ketamine","False","N/A","['Ketamine HCl']"
"2020-10-28","GYDT - Walk-in","Vancouver","Alprazolam","Invalid","False","['Diphenhydramine']"
"2020-10-28","ASK Wellness","Kamloops","Fentanyl","True","False","['Caffeine', 'Fentanyl HCl', 'Mannitol']"
"2020-10-28","GYDT - Walk-in","Vancouver","Fentanyl","N/A","False","['Fentanyl HCl', 'Uncertain Match']"
"2020-10-28","GYDT - Walk-in","Vancouver","Alprazolam","False","True","['Microcrystalline Cellulose', 'Uncertain Oil']"
"2020-10-28","GYDT - Walk-in","Vancouver","Fentanyl","N/A","False","['Fentanyl HCl', 'Erythritol']"
"2020-10-28","GYDT - Walk-in","Vancouver","Methamphetamine","False","N/A","['Methamphetamine HCl']"
"2020-10-28","GYDT - Walk-in","Vancouver","Unknown","False","N/A","['MDMA']"
"2020-10-28","ASK Wellness","Kamloops","Fentanyl","True","False","['Caffeine', 'Fentanyl or Analog', 'Mannitol', 'Xylitol']"
"2020-10-28","GYDT - Walk-in","Vancouver","Fentanyl","True","True","['Caffeine', 'Erythritol']"
"2020-10-28","GYDT - Walk-in","Vancouver","Fentanyl","True","False","['Caffeine', 'Fentanyl HCl', 'Mannitol']"
"2020-10-28","GYDT - Walk-in","Vancouver","Fentanyl","True","False","['Caffeine', 'Fentanyl HCl', 'Mannitol']"
"2020-10-28","GYDT - Walk-in","Vancouver","Alprazolam","False","True","['Microcrystalline Cellulose', 'Uncertain Oil']"
"2020-10-28","GYDT - Walk-in","Vancouver","Alprazolam","False","False","['Uncertain Match']"
"2020-10-28","ASK Wellness","Kamloops","Fentanyl","True","False","['Caffeine', 'Fentanyl HCl', 'Mannitol']"
"2020-10-28","GYDT - Walk-in","Vancouver","Alprazolam","Invalid","False","['Diphenhydramine']"
"2020-10-27","GYDT - Walk-in","Vancouver","Cocaine","False","N/A","['Cocaine HCl']"
"2020-10-27","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-10-27","ANKORS","Nelson","Cocaine","False","N/A","['Cocaine HCl', 'Phenacetin']"
"2020-10-27","GYDT - Walk-in","Vancouver","Unknown","N/A","True","['Caffeine', 'Fentanyl HCl']"
"2020-10-27","ASK Wellness","Kamloops","Fentanyl","True","False","['Caffeine', 'Fentanyl HCl', 'Xylitol']"
"2020-10-27","SafePoint","Surrey","Down (Unknown Opioid)","True","True","['Caffeine', 'Fentanyl HCl', 'Mannitol', 'etizolam']"
"2020-10-27","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-10-27","GYDT - Walk-in","Vancouver","Unknown","N/A","False","['Fentanyl or Analog', 'Uncertain Match']"
"2020-10-27","SafePoint","Surrey","Fentanyl","True","True","['Caffeine', 'Fentanyl HCl', 'Mannitol']"
"2020-10-27","SafePoint","Surrey","Heroin","True","False","['Caffeine', 'Fentanyl HCl', 'Mannitol']"
"2020-10-27","GYDT - Walk-in","Vancouver","Heroin","False","False","['Caffeine', 'Heroin HCl']"
"2020-10-27","ASK Wellness","Kamloops","Unknown","True","True","['Caffeine', 'Fentanyl HCl', 'AMB-FUBINACA', 'etizolam']"
"2020-10-27","GYDT - Walk-in","Vancouver","Unknown","False","N/A","['2C-B']"
"2020-10-27","GYDT - Walk-in","Vancouver","Unknown","False","True","['Calcium Stearate', 'Microcrystalline Cellulose']"
"2020-10-27","GYDT - Walk-in","Vancouver","Ketamine","False","N/A","['Ketamine HCl']"
"2020-10-27","ANKORS","Nelson","Cocaine","False","N/A","['Cocaine HCl', 'Phenacetin']"
"2020-10-27","SafePoint","Surrey","Fentanyl","True","True","['Caffeine', 'Fentanyl HCl', 'Mannitol', 'etizolam']"
"2020-10-27","GYDT - Walk-in","Vancouver","Down (Unknown Opioid)","True","True","['Caffeine', 'Fentanyl HCl', 'Erythritol']"
"2020-10-27","GYDT - Walk-in","Vancouver","Cocaine","False","N/A","['Cocaine HCl']"
"2020-10-27","SafePoint","Surrey","Down (Unknown Opioid)","True","True","['Caffeine', 'Fentanyl or Analog']"
"2020-10-27","Overdose Prevention Society","Vancouver","Down (Unknown Opioid)","True","False","['Caffeine', 'Fentanyl HCl', 'Erythritol']"
"2020-10-27","SafePoint","Surrey","Down (Unknown Opioid)","True","True","['Caffeine', 'Fentanyl HCl', 'Mannitol']"
"2020-10-27","GYDT - Walk-in","Vancouver","Unknown","False","N/A","['MDMA']"
"2020-10-27","ASK Wellness","Kamloops","Unknown","True","False","['Caffeine', 'Fentanyl HCl', 'Erythritol']"
"2020-10-27","ASK Wellness","Kamloops","Methamphetamine","False","N/A","['Methamphetamine HCl']"
"2020-10-27","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDA']"
"2020-10-27","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-10-27","ANKORS","Nelson","Ketamine","False","N/A","['Magnesium Sulfate']"
"2020-10-27","SafePoint","Surrey","Down (Unknown Opioid)","True","False","['Caffeine', 'Fentanyl or Analog', 'Erythritol', 'Xylitol']"
"2020-10-27","GYDT - Walk-in","Vancouver","Ketamine","False","N/A","['Ketamine HCl']"
"2020-10-27","GYDT - Walk-in","Vancouver","Sildenafil","False","N/A","['Sildenafil Citrate', 'Tadalafil']"
"2020-10-27","GYDT - Walk-in","Vancouver","Ketamine","False","N/A","['Ketamine HCl']"
"2020-10-27","ANKORS","Nelson","Cocaine","False","N/A","['Cocaine HCl']"
"2020-10-27","GYDT - Walk-in","Vancouver","Ketamine","False","N/A","['Ketamine HCl']"
"2020-10-27","ANKORS","Nelson","Ketamine","False","N/A","['Ketamine HCl']"
"2020-10-27","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['Inositol', 'MDMA']"
"2020-10-27","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-10-27","GYDT - Walk-in","Vancouver","Unknown","False","N/A","['MDMA']"
"2020-10-27","GYDT - Walk-in","Vancouver","Unknown","True","False","['Caffeine', 'Mannitol']"
"2020-10-27","GYDT - Walk-in","Vancouver","Cocaine","False","N/A","['Cocaine HCl']"
"2020-10-27","GYDT - Walk-in","Vancouver","Cocaine","False","N/A","['Cocaine HCl', 'Levamisole']"
"2020-10-27","Overdose Prevention Society","Vancouver","Down (Unknown Opioid)","True","False","['Caffeine', 'Fentanyl HCl', 'Erythritol']"
"2020-10-27","GYDT - Walk-in","Vancouver","Fentanyl","N/A","False","['Caffeine', 'Fentanyl or Analog', 'Mannitol']"
"2020-10-27","ANKORS","Nelson","Cocaine","False","N/A","['Cocaine HCl', 'Phenacetin']"
"2020-10-27","GYDT - Walk-in","Vancouver","Unknown","False","N/A","['No Library Match']"
"2020-10-27","GYDT - Walk-in","Vancouver","Alprazolam","False","True","['Microcrystalline Cellulose', 'Uncertain Oil']"
"2020-10-27","SafePoint","Surrey","Heroin","True","False","['Caffeine', 'Fentanyl or Analog', 'Mannitol']"
"2020-10-27","GYDT - Walk-in","Vancouver","Unknown","False","True","['Sugar Uncertain', 'Temazepam']"
"2020-10-27","GYDT - Walk-in","Vancouver","Ketamine","False","N/A","['Ketamine HCl']"
"2020-10-27","ANKORS","Nelson","Cocaine","False","N/A","['Cocaine HCl']"
"2020-10-27","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-10-27","SafePoint","Surrey","Heroin","True","False","['Caffeine', 'Fentanyl or Analog', 'Mannitol']"
"2020-10-27","GYDT - Walk-in","Vancouver","MDA","False","N/A","['MDMA']"
"2020-10-27","GYDT - Walk-in","Vancouver","Unknown","True","False","['Mannitol']"
"2020-10-27","ANKORS","Nelson","Phenacetin","False","N/A","['Phenacetin']"
"2020-10-27","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDA']"
"2020-10-27","ASK Wellness","Kamloops","Fentanyl","True","True","['Caffeine', 'Fentanyl HCl', 'Mannitol']"
"2020-10-27","GYDT - Walk-in","Vancouver","Unknown","True","False","['Caffeine', 'Mannitol']"
"2020-10-27","GYDT - Walk-in","Vancouver","Down (Unknown Opioid)","False","False","['Acetaminophen', 'Caffeine', 'Uncertain Carbohydrate']"
"2020-10-26","GYDT - Walk-in","Vancouver","Fentanyl","True","False","['Fentanyl or Analog', 'Mannitol']"
"2020-10-26","GYDT - Walk-in","Vancouver","Heroin","False","False","['Caffeine', 'Heroin HCl']"
"2020-10-26","GYDT - Walk-in","Vancouver","Fentanyl","True","False","['No Library Match']"
"2020-10-26","GYDT - Walk-in","Vancouver","Cocaine","False","N/A","['Ephedrine HCl']"
"2020-10-26","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['Caffeine', 'MDMA', 'Uncertain Carbohydrate', 'Uncertain Oil']"
"2020-10-26","GYDT - Walk-in","Vancouver","Cocaine","False","N/A","['Diphenhydramine']"
"2020-10-26","GYDT - Walk-in","Vancouver","Unknown","False","True","['Lactose', 'Microcrystalline Cellulose', 'Uncertain Match']"
"2020-10-26","GYDT - Walk-in","Vancouver","Heroin","True","False","['Fentanyl HCl', 'Heroin HCl', 'Sugar Uncertain']"
